Movie title,Url,Position,Duration,Genre,Rating,RatingCount
Jai Bhim,https://www.imdb.com/title/tt15097216/,,PT2H44M,"Crime, Drama",8.6,228869
Hotel Rwanda,https://www.imdb.com/title/tt0395169/,,PT2H1M,"Biography, Drama, History",8.1,386373
Platoon,https://www.imdb.com/title/tt0091763/,,PT2H,"Drama, War",8.1,460973
The Best Years of Our Lives,https://www.imdb.com/title/tt0036868/,,PT2H50M,"Drama, Romance, War",8.1,75636
Before Sunset,https://www.imdb.com/title/tt0381681/,,PT1H20M,"Drama, Romance",8.1,306126
The Sound of Music,https://www.imdb.com/title/tt0059742/,,PT2H52M,"Biography, Drama, Family",8.1,280827
The Exorcist,https://www.imdb.com/title/tt0070047/,,PT2H2M,Horror,8.1,483907
The Incredibles,https://www.imdb.com/title/tt0317705/,,PT1H55M,"Animation, Action, Adventure",8.0,869022
Hachi: A Dog&apos;s Tale,https://www.imdb.com/title/tt1028532/,,PT1H33M,"Biography, Drama, Family",8.1,332593
Rush,https://www.imdb.com/title/tt1979320/,,PT2H3M,"Biography, Drama, Sport",8.1,543340
The Wizard of Oz,https://www.imdb.com/title/tt0032138/,,PT1H42M,"Adventure, Family, Fantasy",8.1,455366
Koe no katachi,https://www.imdb.com/title/tt5323662/,,PT2H10M,"Animation, Drama",8.1,126991
La passion de Jeanne d&apos;Arc,https://www.imdb.com/title/tt0019254/,,PT1H50M,"Biography, Drama, History",8.1,66142
Stand by Me,https://www.imdb.com/title/tt0092005/,,PT1H29M,"Adventure, Comedy, Drama",8.1,470744
The Iron Giant,https://www.imdb.com/title/tt0129167/,,PT1H26M,"Animation, Action, Adventure",8.1,249684
Babam ve Oglum,https://www.imdb.com/title/tt0476735/,,PT1H52M,"Drama, Family",8.2,98493
Network,https://www.imdb.com/title/tt0074958/,,PT2H1M,Drama,8.1,181689
Ah-ga-ssi,https://www.imdb.com/title/tt4016934/,,PT2H25M,"Drama, Romance, Thriller",8.1,192543
La battaglia di Algeri,https://www.imdb.com/title/tt0058946/,,PT2H1M,"Drama, War",8.1,72462
The Grapes of Wrath,https://www.imdb.com/title/tt0032551/,,PT2H9M,Drama,8.1,106276
To Be or Not to Be,https://www.imdb.com/title/tt0035446/,,PT1H39M,"Comedy, Romance, War",8.1,47994
Into the Wild,https://www.imdb.com/title/tt0758758/,,PT2H28M,"Adventure, Biography, Drama",8.0,684744
The Help,https://www.imdb.com/title/tt1454029/,,PT2H26M,Drama,8.1,518065
Gekijô-ban Kimetsu no Yaiba Mugen Ressha-hen,https://www.imdb.com/title/tt11032374/,,PT1H57M,"Animation, Action, Adventure",8.2,88879
Groundhog Day,https://www.imdb.com/title/tt0107048/,,PT1H41M,"Comedy, Drama, Fantasy",8.0,724200
Drishyam,https://www.imdb.com/title/tt4430212/,,PT2H43M,"Crime, Drama, Mystery",8.2,103628
Gangs of Wasseypur,https://www.imdb.com/title/tt1954470/,,PT5H21M,"Action, Comedy, Crime",8.2,109771
